,Area,Year,Value,pct_ch,log_value,logpct_ch
3259,Kensington and Chelsea,2013,980000,10.024093030984126,13.795307850646754,0.6973045747367568
3439,Kensington and Chelsea,2014,1197500,22.193877551020403,13.995746608267208,1.4529487836768773
3619,Kensington and Chelsea,2015,1175000,-1.8789144050104345,13.976778705560397,-0.13552619404817445
3799,Kensington and Chelsea,2016,1200000,2.127659574468077,13.997832114758229,0.15063134103607823
3979,Kensington and Chelsea,2017,1315000,9.583333333333343,14.089347223594002,0.6537805860615142
2180,Kingston upon Thames,2007,290000,,12.577636201962656,
2360,Kingston upon Thames,2008,285000,-1.7241379310344862,12.560244459250788,-0.13827512922622853
2540,Kingston upon Thames,2009,270000,-5.263157894736848,12.506177237980511,-0.43046312868899594
2720,Kingston upon Thames,2010,300000,11.111111111111116,12.611537753638338,0.842467795337587
2900,Kingston upon Thames,2011,300000,0.0,12.611537753638338,0.0
3080,Kingston upon Thames,2012,317500,5.833333333333335,12.668233097314884,0.44955139320888016
3260,Kingston upon Thames,2013,335000,5.5118110236220375,12.721885810807203,0.42352167883372704
3440,Kingston upon Thames,2014,385000,14.925373134328357,12.86099861326992,1.0934919911365748
3620,Kingston upon Thames,2015,413500,7.402597402597411,12.932412793445883,0.5552771003511037
3800,Kingston upon Thames,2016,460000,11.245465538089473,13.038981768465277,0.824045572326626
3980,Kingston upon Thames,2017,487250,5.923913043478257,13.096532617369807,0.44137533073109747
2181,Lambeth,2007,280000,,12.542544882151386,
2361,Lambeth,2008,275000,-1.7857142857142905,12.524526376648708,-0.1436590873062693
2541,Lambeth,2009,275000,0.0,12.524526376648708,0.0
2721,Lambeth,2010,302000,9.818181818181815,12.618182296357007,0.747780130695519
2901,Lambeth,2011,310000,2.6490066225165476,12.644327576461329,0.20720322064033958
3081,Lambeth,2012,321250,3.629032258064524,12.679974915191567,0.2819235622825822
3261,Lambeth,2013,350000,8.94941634241244,12.765688433465597,0.6759754561607156
3441,Lambeth,2014,420000,19.999999999999996,12.948009990259552,1.4282156245956523
3621,Lambeth,2015,460000,9.523809523809534,13.038981768465277,0.7025927403065069
3801,Lambeth,2016,507600,10.347826086956523,13.13744901482237,0.7551758880071091
3981,Lambeth,2017,518110,2.070527974783287,13.157942853909798,0.1559955746683217
2182,Lewisham,2007,224998,,12.323846792258163,
2362,Lewisham,2008,227000,0.8897856869838794,12.332705296463539,0.07188099912878165
2542,Lewisham,2009,215000,-5.286343612334798,12.2783933071098,-0.4403899067410011
2722,Lewisham,2010,235000,9.302325581395344,12.367340793126296,0.7244228441924072
2902,Lewisham,2011,240000,2.127659574468077,12.388394202324129,0.17023392134172255
3082,Lewisham,2012,249000,3.750000000000009,12.425208175446844,0.29716501203851386
3262,Lewisham,2013,260000,4.417670682730934,12.468436909997665,0.3479115515846676
3442,Lewisham,2014,315000,21.153846153846146,12.66032791780777,1.5390141458408335
3622,Lewisham,2015,360000,14.28571428571428,12.793859310432293,1.0547230173769906
3802,Lewisham,2016,387000,7.499999999999996,12.866179972011919,0.5652763550452189
3982,Lewisham,2017,430000,11.111111111111116,12.971540487669746,0.818895086863547
2183,Merton,2007,263375,,12.48133415110649,
2363,Merton,2008,261500,-0.7119126720455671,12.474189562487116,-0.05724218687583882
2543,Merton,2009,250000,-4.397705544933084,12.429216196844383,-0.360531362918981
2723,Merton,2010,289000,15.59999999999999,12.57418196709457,1.166330748088451
2903,Merton,2011,295000,2.076124567474058,12.594730635321957,0.16341952328320364
3083,Merton,2012,290000,-1.6949152542372836,12.577636201962656,-0.13572686748344331
3263,Merton,2013,321250,10.775862068965525,12.679974915191567,0.81365617184046
3443,Merton,2014,385000,19.844357976653693,12.86099861326992,1.4276345126004397
3623,Merton,2015,420000,9.090909090909083,12.948009990259552,0.6765522616560604
3803,Merton,2016,450000,7.14285714285714,13.017002861746503,0.5328453680438328
3983,Merton,2017,470000,4.444444444444451,13.060487973686241,0.334063934698281
2184,Newham,2007,230000,,12.345834587905333,
2364,Newham,2008,235000,2.1739130434782705,12.367340793126296,0.174198067111897
2544,Newham,2009,200000,-14.893617021276595,12.206072645530174,-1.3039840196346297
2724,Newham,2010,220000,10.000000000000009,12.301382825334498,0.780842311627783
2904,Newham,2011,219000,-0.4545454545454519,12.296827008798639,-0.03703499517531128
3084,Newham,2012,219000,0.0,12.296827008798639,0.0
3264,Newham,2013,230000,5.022831050228316,12.345834587905333,0.3985384121581115
3444,Newham,2014,250000,8.695652173913038,12.429216196844383,0.675382521492196
3624,Newham,2015,310000,24.0,12.644327576461329,1.7306914306596477
3804,Newham,2016,355000,14.516129032258075,12.779873068457553,1.0719865582140997
3984,Newham,2017,390500,10.000000000000009,12.875183248261878,0.7457834619622572
2185,Redbridge,2007,250000,,12.429216196844383,
