,id,Year,Borough,Frequency
641,1,2018,Barnet,28248
642,2,2018,Bexley,15328
643,3,2018,Brent,30716
644,4,2018,Bromley,23208
645,5,2018,Camden,35551
646,6,2018,Croydon,30955
647,7,2018,Ealing,28236
648,8,2018,Enfield,27922
649,9,2018,Greenwich,25649
650,10,2018,Hackney,31197
651,11,2018,Hammersmith and Fulham,22100
652,12,2018,Haringey,30959
653,13,2018,Harrow,14879
654,14,2018,Havering,18695
655,15,2018,Hillingdon,28349
656,16,2018,Hounslow,25418
657,17,2018,Islington,28722
658,18,2018,Kensington and Chelsea,22001
659,19,2018,Kingston upon Thames,12349
660,20,2018,Lambeth,34953
661,21,2018,Lewisham,26021
662,22,2018,Merton,13791
663,23,2018,Newham,35941
664,24,2018,Redbridge,23514
665,25,2018,Richmond upon Thames,12689
666,26,2018,Southwark,35663
667,27,2018,Sutton,12092
668,28,2018,Tower Hamlets,33611
669,29,2018,Waltham Forest,23650
670,30,2018,Wandsworth,25823
671,31,2018,Westminster,62995
672,32,2018,London,18197
673,33,2018,London,28248
674,34,2018,London,15328
675,35,2018,London,30716
676,36,2018,London,23208
677,37,2018,London,35551
678,38,2018,London,30955
679,39,2018,London,28236
680,40,2018,London,27922
681,41,2018,London,25649
682,42,2018,London,31197
683,43,2018,London,22100
684,44,2018,London,30959
685,45,2018,London,14879
686,46,2018,London,18695
687,47,2018,London,28349
688,48,2018,London,25418
689,49,2018,London,28722
690,50,2018,London,22001
691,51,2018,London,12349
692,52,2018,London,34953
693,53,2018,London,26021
694,54,2018,London,13791
695,55,2018,London,35941
696,56,2018,London,23514
697,57,2018,London,12689
698,58,2018,London,35663
699,59,2018,London,12092
700,60,2018,London,33611
701,61,2018,London,23650
702,62,2018,London,25823
703,63,2018,London,62995
